Application Id,Application Number,Publication Number,Publication Date,IPC,CPC,Applicants,Inventors,Agents,Priority Data,Address Picture,Title,Abstract,Related Patent Documents,Office,Application Date,Publication Kind,Grant Number,Grant Date,Publication Language,F-term,FI
MX283331777,2019007546,2019007546,24.10.2019,"A01H 1/06
					








A01H 1/06
					






View less classifications","A01H 1/06
					






A01H 5/10
					






C07K 14/415
					






C12N 15/8213
					






C12N 15/8261
					






A01H 6/4684
					






View more classifications
							






A01H 1/06
					






A01H 5/10
					






C07K 14/415
					






C12N 15/8213
					






C12N 15/8261
					






A01H 6/4684
					






Y02A 40/146
					






C12N 15/8262
					






View less classifications",MONSANTO TECHNOLOGY LLC,Jonathan C. LAMBEdward J. CARGILLTy BARTENBryce M. LEMKELinda A. RYMARQUISDennis H. YANG,,"62/438,370 22.12.2016 US",,(EN) GENOME EDITING-BASED CROP ENGINEERING AND PRODUCTION OF BRACHYTIC PLANTS.(ES) MODIFICACIÓN GENÉTICA DE CULTIVOS A BASE DE EDICIÓN DEL GENÓMICA Y PRODUCCIÓN DE PLANTAS BRAQUÍTICAS.,(EN) Disclosed herein are plants exhibiting a semi-dwarf phenotype with reduced plant height compared to control wildtype plants. Some of the disclosed semi-dwarf plants comprise at least one non-natural brachytic mutation in which the activity of a BR2 gene is reduced. Also disclosed are methods for producing a semi-dwarf corn plant using a CRISPR based genome editing system.(ES) Se describen en la presente plantas que presentan un fenotipo semienano con altura reducida de la plantas en comparación con plantas de control de tipo salvaje; algunas de las plantas semienanas descritas comprenden al menos una mutación braquitica no natural en la cual se reduce la actividad de un gen BR2; tambien se describen metodos para producir una planta de maíz semienana mediante el uso de un sistema de edicion genómica a base de CRISPR.,"CA3047163

CN110213961

EP3557980

BR112019012819

US20200140874

WO/2018/119225

UY0001037545

AR110581

MX2022014145",Mexico,21.06.2019,A,110846323,,,,
CN251679698,201780084278,110213961,06.09.2019,"A01H 1/04
					






A01H 1/06
					






A01H 5/10
					






C12N 15/10
					






C12N 15/82
					








A01H 1/04
					






A01H 1/06
					






A01H 5/10
					






C12N 15/10
					






C12N 15/82
					






View less classifications","A01H 1/06
					






A01H 5/10
					






C07K 14/415
					






C12N 15/8213
					






C12N 15/8261
					






A01H 6/4684
					






View more classifications
							






A01H 1/06
					






A01H 5/10
					






C07K 14/415
					






C12N 15/8213
					






C12N 15/8261
					






A01H 6/4684
					






Y02A 40/146
					






C12N 15/8262
					






View less classifications",MONSANTO TECHNOLOGY LLC孟山都技术公司,BARTEN TYT·巴滕CARGILL EDWARD JE·J·卡吉尔LAMB JONATHAN CJ·C·兰姆LEMKE BRYCE MB·M·莱姆基RYMARQUIS LINDA AL·A·赖默奎斯YANG DENNIS HD·H·杨,北京市金杜律师事务所 11256北京市金杜律师事务所 11256,"62/438,370 22.12.2016 US",,(EN) GENOME EDITING-BASED CROP ENGINEERING AND PRODUCTION OF BRACHYTIC PLANTS(ZH) 基于基因组编辑的作物工程化和生产矮秆植物,(EN) Disclosed herein are plants exhibiting a semi-dwarf phenotype with reduced plant height compared to control wildtype plants. Some of the disclosed semi-dwarf plants comprise at least one non-natural brachytic mutation in which the activity of a BR2 gene is reduced. Also disclosed are methods for producing a semi-dwarf corn plant using a CRISPR based genome editing system.(ZH) 本文公开了与对照野生型植物相比表现出具有降低的株高度的半矮化表型的植物。一些公开的半矮化植物包含至少一种非天然矮秆突变，其中BR2基因的活性降低。还公开了使用基于CRISPR的基因组编辑系统生产半矮化玉米植物的方法。,"CA3047163

EP3557980

BR112019012819

US20200140874

WO/2018/119225

UY0001037545

AR110581

MX2019007546

MX2022014145",China,21.12.2017,A,12241074,,,,
CN290161211,201911081825,110846323,28.02.2020,"C12N 15/29
					






C12N 15/10
					






C12N 15/113
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






View more classifications
							






C12N 15/29
					






C12N 15/10
					






C12N 15/113
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






C12Q 1/6895
					






View less classifications","C07K 14/415
					






C12N 15/1096
					






C12N 15/8218
					






C12N 15/8261
					






C12Q 1/6895
					






C12Q 2600/13
					








C07K 14/415
					






C12N 15/1096
					






C12N 15/8218
					






C12N 15/8261
					






C12Q 1/6895
					






C12Q 2600/13
					






View less classifications","INSTITUTE OF CROP SCIENCE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院作物科学研究所",LI AILI李爱丽WANG FANG王芳GENG SHUAIFENG耿帅锋MAO LONG毛龙,北京路浩知识产权代理有限公司 11002,,,(EN) Wheat TaARF12 gene and application thereof(ZH) 小麦TaARF12基因及其应用,"(EN) The invention provides a wheat TaARF12 gene and application thereof, and belongs to the field of molecular biology of crops. A designed primer clones a coding region sequence of TaARF12 from cDNA of Chinese spring young ears, and the coding region sequence of the TaARF12 gene in homologous chromosomes A, B and D is represented as SEQ ID NO. 1-3 respectively. A TaARF12-specific RNAi fragment is selected, an RNAi vector is created, and Fierder is transformed. A CRISPR/Cas9 vector is used to create a gene editing vector containing two target sites and transform wild-type Fierder. Obtained RANi transgenic lines and gene editing lines have similar phenotypes, with plants becoming shorter and ears becoming longer. It is indicated that the wheat TaARF12 gene can regulate the plant height and theear length, and the plants become shorter and the ears become longer after the gene is interfered and expressed.(ZH) 本发明提供了小麦TaARF12基因及其应用，属于作物分子生物学领域。本发明设计引物从中国春幼穗的cDNA中克隆TaARF12的编码区序列，TaARF12基因编码区序列在A、B、D同源染色体中的序列分别如SEQ ID NO.1‑3所示。本发明选择TaARF12特异性的RNAi片段，构建RNAi载体并转化Fielder。同时，使用CRISPR/Cas9载体构建包含两个靶位点的基因编辑载体并转化野生型Fielder。获得的RNAi转基因株系和基因编辑株系具有类似的表型，表现为株高变矮，穗子变长。说明小麦TaARF12基因能够调控植株高度和穗子长度，该基因被干扰表达后植株表现为植株变矮，穗子增长。",,China,07.11.2019,B,,,,,
US294407009,16472140,20200140874,07.05.2020,"C12N 15/82
					






A01H 1/06
					






A01H 5/10
					






A01H 6/46
					






C07K 14/415
					








C12N 15/82
					






A01H 1/06
					






A01H 5/10
					






A01H 6/46
					






C07K 14/415
					






View less classifications","A01H 1/06
					






C12N 15/8262
					






A01H 5/10
					






A01H 6/4684
					






C07K 14/415
					






C12N 15/8213
					






View more classifications
							






A01H 1/06
					






C12N 15/8262
					






A01H 5/10
					






A01H 6/4684
					






C07K 14/415
					






C12N 15/8213
					






C12N 15/8261
					






View less classifications",Monsanto Technology LLC,Ty J. BartenEdward J. CargillJonathan C. LambBryce LemkeLinda A. RymarquisDennis H. Yang,MORRISON & FOERSTER LLP,,,(EN) Genome editing-based crop engineering and production of brachytic plants,"(EN) 
Disclosed herein are plants exhibiting a semi-dwarf phenotype with reduced plant height compared to control wildtype plants. Some of the disclosed semi-dwarf plants comprise at least one non-natural brachytic mutation in which the activity of a BR2 gene is reduced. Also disclosed are methods for producing a semi-dwarf corn plant using a CRISPR based genome editing system.","CA3047163

CN110213961

EP3557980

BR112019012819

WO/2018/119225

UY0001037545

AR110581

MX2019007546

MX2022014145",United States of America,21.12.2017,B2,,,,,
MX415081199,2022014145,2022014145,30.11.2022,"A01H 1/04
					








A01H 1/04
					






View less classifications","A01H 1/06
					






A01H 5/10
					






C07K 14/415
					






C12N 15/8213
					






C12N 15/8261
					






A01H 6/4684
					






View more classifications
							






A01H 1/06
					






A01H 5/10
					






C07K 14/415
					






C12N 15/8213
					






C12N 15/8261
					






A01H 6/4684
					






Y02A 40/146
					






C12N 15/8262
					






View less classifications",MONSANTO TECHNOLOGY LLC,Jonathan C. LAMBEdward J. CARGILLTy BARTENBryce M. LEMKELinda A. RYMARQUISDennis H. YANG,,"62/438,370 22.12.2016 US",,(EN) GENOME EDITING-BASED CROP ENGINEERING AND PRODUCTION OF BRACHYTIC PLANTS.(ES) MODIFICACION GENETICA DE CULTIVOS A BASE DE EDICION GENOMICA Y PRODUCCION DE PLANTAS BRAQUITICAS.,"(EN) Disclosed herein are plants exhibiting a semi-dwarf phenotype with reduced plant height compared to control wildtype plants. Some of the disclosed semi-dwarf plants comprise at least one non-natural brachytic mutation in which the activity of a BR2 gene is reduced. Also disclosed are methods for producing a semi-dwarf corn plant using a CRISPR based genome editing system.(ES) En la presente invención, se divulga planta de maíz, caracterizada porque comprende al menos una mutación braquítica no natural, en donde la planta de maíz presenta un fenotipo semienano en comparación con una planta de maíz de control que no comprende la al menos una mutación braquítica no natural cuando se cultiva en condiciones comparables. En una modalidad particular de la invención, la al menos una mutación braquítica no natural ocurre en un gen BR que reduce la actividad del gen BR y no se introduce mediante un transposón, y en donde la planta de maíz no comprende un alelo braquítico br2-23 o SNP5259.","CA3047163

CN110213961

EP3557980

BR112019012819

US20200140874

WO/2018/119225

UY0001037545

AR110581

MX2019007546",Mexico,21.06.2019,A,,,,,
CA345312038,3141931,3141931,24.12.2020,"C12N 15/113
					






A01H 6/20
					






C12Q 1/686
					






A01H 1/00
					






A01H 5/00
					






C07K 14/415
					






View more classifications
							






C12N 15/113
					






A01H 6/20
					






C12Q 1/686
					






A01H 1/00
					






A01H 5/00
					






C07K 14/415
					






C12N 9/22
					






C12N 15/09
					






C12N 15/11
					






C12N 15/29
					






View less classifications","C07K 14/415
					






C12N 9/22
					






A01H 5/10
					






C12N 15/8213
					






C12N 9/24
					






C12N 2310/20
					






View more classifications
							






C07K 14/415
					






C12N 9/22
					






A01H 5/10
					






C12N 15/8213
					






C12N 9/24
					






C12N 2310/20
					






A01H 1/1205
					






C12Q 1/6895
					






C12N 15/111
					






View less classifications","PIONEER HI-BRED INTERNATIONAL, INC.","BRUGIERE, NORBERTCHEN, WENPINFALAK, IGORJETTY, SIVA S. AMMIRAJULU, CHENGWILLIAMS, ROBERT W.",,"62/863,551 19.06.2019 US",,(EN) COMPOSITIONS AND METHODS FOR IMPROVING POD SHATTER TOLERANCE IN CANOLA(FR) COMPOSITIONS ET PROCEDES POUR AMELIORER LA TOLERANCE A L'ECLATEMENT DES CAPSULES DANS LE CANOLA,"(EN) Genome edited plants, plant cells, seeds and plant parts of Brassica are provided where expression levels and/or activities of pod dehiscence genes are modulated to improve one or more agronomic characteristics such as pod shatter. Also provided are compositions comprising polynucleotides encoding polypeptides and guide RNAs targeted to endogenous Brassica proteins involved in pod dehiscence including for example, targeted site-directed mutagenesis using CRISPR-associated nucleases. Additionally, various methods of employing the polynucleotides and genetic modifications in plants, such as methods for modulating expression level in a Brassica plant and methods for increasing pod shatter tolerance of a Brassica plant are also provided herein.(FR) L'invention concerne des plantes dont le génome est édité, des cellules végétales, des graines et des parties de plantes du Brassica dont les niveaux d'expression et/ou les activités des gènes d'ouverture des gousses sont modulés pour améliorer une ou plusieurs caractéristiques agronomiques telles que l'éclatement des grains. L'invention concerne également des compositions comprenant des polynucléotides codant pour des polypeptides et des ARN guides ciblés sur des protéines de Brassica endogènes impliquées dans l'ouverture des gousses comprenant, par exmple, la mutagénèse ciblée dirigée sur un site au moyen de nucléases associées à CRISPR. De plus, l'invention concerne également divers procédés d'utilisation des polynucléotides et des modifications génétiques dans des plantes, tels que des procédés de modulation du niveau d'expression dans une plante de Brassica et des procédés permettant d'augmenter la tolérance à l'éclatement des grains d'une plante de Brassica.","WO/2020/257251

WO/2020/257273

AU2020295995

AU2020295398

CA3142950

EP3986118

EP3986120

US20220298519

US20220298520

RU2022100974

RU2022100976

CL2021003363

CL2021003403

UAa202200215This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",Canada,17.06.2020,A1,,,,,
EP358609092,20825832,3986118,27.04.2022,"A01H 1/00
					






A01H 5/00
					






A01H 6/20
					






C07K 14/415
					






C12N 9/22
					






C12N 15/09
					






View more classifications
							






A01H 1/00
					






A01H 5/00
					






A01H 6/20
					






C07K 14/415
					






C12N 9/22
					






C12N 15/09
					






C12N 15/11
					






View less classifications","C07K 14/415
					






C12N 9/22
					






A01H 5/10
					






C12N 15/8213
					






C12N 9/24
					






C12N 2310/20
					






View more classifications
							






C07K 14/415
					






C12N 9/22
					






A01H 5/10
					






C12N 15/8213
					






C12N 9/24
					






C12N 2310/20
					






A01H 1/1205
					






C12Q 1/6895
					






C12N 15/111
					






View less classifications",PIONEER HI BRED INT,BRUGIERE NORBERTCHEN WENPINFALAK IGORJETTY SIVA S AMMIRAJULU CHENGWILLIAMS ROBERT W,,201962863551 19.06.2019 US,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all",(DE) ZUSAMMENSETZUNGEN UND VERFAHREN ZUR VERBESSERUNG DER HÜSELBRUCHTOLERANZ BEI RAPS(EN) COMPOSITIONS AND METHODS FOR IMPROVING POD SHATTER TOLERANCE IN CANOLA(FR) COMPOSITIONS ET PROCÉDÉS POUR AMÉLIORER LA TOLÉRANCE À L'ÉCLATEMENT DES CAPSULES DANS LE CANOLA,"(EN) Genome edited plants, plant cells, seeds and plant parts of Brassica are provided where expression levels and/or activities of pod dehiscence genes are modulated to improve one or more agronomic characteristics such as pod shatter. Also provided are compositions comprising polynucleotides encoding polypeptides and guide RNAs targeted to endogenous Brassica proteins involved in pod dehiscence including for example, targeted site-directed mutagenesis using CRISPR-associated nucleases. Additionally, various methods of employing the polynucleotides and genetic modifications in plants, such as methods for modulating expression level in a Brassica plant and methods for increasing pod shatter tolerance of a Brassica plant are also provided herein.(FR) L'invention concerne des plantes dont le génome est édité, des cellules végétales, des graines et des parties de plantes du Brassica dont les niveaux d'expression et/ou les activités des gènes d'ouverture des gousses sont modulés pour améliorer une ou plusieurs caractéristiques agronomiques telles que l'éclatement des grains. L'invention concerne également des compositions comprenant des polynucléotides codant pour des polypeptides et des ARN guides ciblés sur des protéines de Brassica endogènes impliquées dans l'ouverture des gousses comprenant, par exmple, la mutagénèse ciblée dirigée sur un site au moyen de nucléases associées à CRISPR. De plus, l'invention concerne également divers procédés d'utilisation des polynucléotides et des modifications génétiques dans des plantes, tels que des procédés de modulation du niveau d'expression dans une plante de Brassica et des procédés permettant d'augmenter la tolérance à l'éclatement des grains d'une plante de Brassica.","WO/2020/257251

WO/2020/257273

AU2020295995

AU2020295398

CA3141931

CA3142950

EP3986120

US20220298519

US20220298520

RU2022100974

RU2022100976

CL2021003363

CL2021003403

UAa202200215This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",European Patent Office,17.06.2020,A4,,,,,
EP311124141,19701052,3737691,18.11.2020,"C07K 14/415
					






A01H 6/02
					






A01H 6/46
					






C12N 15/113
					






C12N 15/82
					








C07K 14/415
					






A01H 6/02
					






A01H 6/46
					






C12N 15/113
					






C12N 15/82
					






View less classifications","C07K 14/415
					






C12N 15/8213
					






C12N 15/8216
					






C12N 15/8218
					






A01H 6/4684
					






A01H 6/024
					






View more classifications
							






C07K 14/415
					






C12N 15/8213
					






C12N 15/8216
					






C12N 15/8218
					






A01H 6/4684
					






A01H 6/024
					






C12N 2310/20
					






C12N 9/22
					






C12N 15/82
					






View less classifications",KWS SAAT SE & CO KGAA,HUMMEL AARONVAGHCHHIPAWALA ZARIR,,201862616136 11.01.2018 US,,(DE) OPTIMIERTE CRISPR/CPF1-PFLANZENSYSTEME(EN) OPTIMIZED PLANT CRISPR/CPF1 SYSTEMS(FR) SYSTÈMES CRISPR/CPF1 OPTIMISÉS DE PLANTES,"(EN) The present invention relates to optimized systems for the genome editing of eukaryotic cells, preferably plant cells. Also provided is a plant delivery system comprising at least one Cpf1 enzyme, or a plant optimized construct encoding the same, to be synergistically combined with a Cpf1 guide RNA system. Further provided is a Cpf1 guide RNA system being flanked by a Hammerhead ribozyme sequence at the 5' end and by a plant-derived Hepatitis Delta Virus (HDV)-like ribozyme sequence at the 3' end, or being embedded within a coding or non-coding region, of a sequence encoding a frame sequence. Novel plant-derived HDV-like ribozyme sequences are also provided. Further provided are methods for improved genome editing, and the use of the various systems provided herein to obtain transformed plants, plant cells, tissues, organs, or a progeny thereof, or a plant material, modified in a targeted way even at difficult to access target sites.(FR) La présente invention concerne des systèmes optimisés pour l'édition génomique de cellules eucaryotes, de préférence des cellules végétales. L'invention concerne également un système d'administration dans des plantes comprenant au moins une enzyme Cpf1, ou une construction optimisée de plantes codant pour celui-ci, pouvant être combinée de manière synergique avec un système d'ARN guide de Cpf1. L'invention concerne en outre un système d'ARN guide de Cpf1 flanqué par une séquence de ribozyme en tête de marteau à l'extrémité 5' et par une séquence de ribozyme de type virus de l'hépatite delta (HDV) dérivé d'une plante à l'extrémité 3', ou étant incorporé dans une région de codage ou de non-codage, d'une séquence codant pour une séquence de trame. L'invention concerne également de nouvelles séquences de ribozyme de type HDV dérivées d'une plante. L'invention concerne en outre des procédés améliorés pour l'édition génomique, et l'utilisation de divers systèmes selon l'invention afin d'obtenir des plantes transformées, des cellules végétales, des tissus, des organes ou une descendance de ceux-ci, ou un matériau végétal, modifié de manière ciblée même dans des sites cibles difficiles d’accès.","AR113728

WO/2019/138052

CN111836825

BR112020014017

US20210163968

CA3088052

US20240409949",European Patent Office,11.01.2019,A1,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all",,
CN312690861,201980026492,111988989,24.11.2020,"A01H 5/00
					






A01H 5/10
					






A01H 6/46
					






C07K 14/415
					






C12N 15/82
					








A01H 5/00
					






A01H 5/10
					






A01H 6/46
					






C07K 14/415
					






C12N 15/82
					






View less classifications","A01H 6/4684
					






C12N 15/8269
					






C12N 15/8213
					






A01H 5/10
					






Y02A 40/146
					






C12N 15/8241
					








A01H 6/4684
					






C12N 15/8269
					






C12N 15/8213
					






A01H 5/10
					






Y02A 40/146
					






C12N 15/8241
					






View less classifications",PIONEER HI-BRED INTERNATIONAL INC.先锋国际良种公司,ABBITT SHANE E.S·E·阿比特FRANK MARY J.M·J·弗兰克LAWIT SHAIS·拉维特MELO ROSANAR·梅洛RUPE MARY A.M·A·拉普SHEN BOB·沈WU JINGRUI武景瑞,中国专利代理(香港)有限公司 72001中国专利代理(香港)有限公司 72001,62/659579 18.04.2018 US62/741529 04.10.2018 US62/814373 06.03.2019 US,,(EN) IMPROVING AGRONOMIC CHARACTERISTICS IN MAIZE BY MODIFICATION OF ENDOGENOUS MADS BOX TRANSCRIPTION FACTORS(ZH) 通过修饰内源性MADS盒转录因子改善玉蜀黍中的农艺特征,"(EN) Genome edited plants, plant cells, seeds and plant parts of maize are provided where expression levels and/or activities of MADS-box transcription factors are modulated to improve one or more agronomic characteristics such as grain yield. Also provided are compositions comprising polynucleotides encoding polypeptides and guide RNAs targeted to endogenous maize MADS-box proteins including for example, targeted site-directed mutagenesis using CRISPR-associated nucleases. Additionally, various methods of employing the polynucleotides and genetic modifications in plants, such as methods for modulating expression level in a maize plant and methods for increasing yield of a maize plant are also provided herein.(ZH) 提供了玉蜀黍的基因组编辑植物、植物细胞、种子、和植物部分，其中MADS盒转录因子的表达水平和/或活性被调控以改善一种或多种农艺特征，诸如籽粒产量。还提供了组合物，所述组合物包含编码多肽的多核苷酸和靶向内源性玉蜀黍MADS盒蛋白的指导RNA，所述MADS盒蛋白包括例如使用CRISPR相关核酸酶进行的靶向性定点诱变。另外，本文还提供了在植物中使用所述多核苷酸和遗传修饰的各种方法，诸如用于在玉蜀黍植物中调控表达水平的方法以及用于增加玉蜀黍植物产量的方法。","WO/2019/204256

BR112020021364

EP3780946

US20210155949

CA3095045

IN202017049501",China,16.04.2019,A,,,,,
EP318509452,19789170,3780946,24.02.2021,"C12N 15/82
					






A01H 1/02
					






A01H 5/10
					






C12Q 1/68
					








C12N 15/82
					






A01H 1/02
					






A01H 5/10
					






C12Q 1/68
					






View less classifications","A01H 6/4684
					






C12N 15/8269
					






C12N 15/8213
					






A01H 5/10
					






Y02A 40/146
					






C12N 15/8241
					








A01H 6/4684
					






C12N 15/8269
					






C12N 15/8213
					






A01H 5/10
					






Y02A 40/146
					






C12N 15/8241
					






View less classifications",PIONEER HI BRED INT,ABBITT SHANE EFRANK MARY JLAWIT SHAIMELO ROSANARUPE MARY ASHEN BOWU JINGRUI,,201862659579 18.04.2018 US201862741529 04.10.2018 US201962814373 06.03.2019 US,,(DE) VERBESSERUNG DER AGRONOMISCHEN EIGENSCHAFTEN BEI MAIS DURCH MODIFIKATION ENDOGENER MADS-BOX-TRANSKRIPTIONSFAKTOREN(EN) IMPROVING AGRONOMIC CHARACTERISTICS IN MAIZE BY MODIFICATION OF ENDOGENOUS MADS BOX TRANSCRIPTION FACTORS(FR) AMÉLIORATION DE CARACTÉRISTIQUES AGRONOMIQUES DANS LE MAÏS PAR MODIFICATION DE FACTEURS DE TRANSCRIPTION DE MADS BOX ENDOGÈNES,"(EN) Genome edited plants, plant cells, seeds and plant parts of maize are provided where expression levels and/or activities of MADS-box transcription factors are modulated to improve one or more agronomic characteristics such as grain yield. Also provided are compositions comprising polynucleotides encoding polypeptides and guide RNAs targeted to endogenous maize MADS-box proteins including for example, targeted site-directed mutagenesis using CRISPR-associated nucleases. Additionally, various methods of employing the polynucleotides and genetic modifications in plants, such as methods for modulating expression level in a maize plant and methods for increasing yield of a maize plant are also provided herein.(FR) L'invention concerne des plantes modifiées par le génome, des cellules végétales, des graines et des parties de plantes du maïs, les niveaux d'expression et/ou les activités des facteurs de transcription de MADS box étant modulés pour améliorer une ou plusieurs caractéristiques agronomiques telles que le rendement en grains. L'invention concerne également des compositions comprenant des polynucléotides codant pour des polypeptides et des ARN guides ciblés sur des protéines de MADS box de maïs endogènes comprenant, par exemple, une mutagenèse dirigée ciblée à l'aide de nucléases associées à CRISPR. De plus, l'invention concerne également divers procédés d'utilisation des polynucléotides et des modifications génétiques dans des plantes, tels que des procédés de modulation du niveau d'expression dans une plante de maïs et des procédés pour augmenter le rendement d'une plante de maïs.","WO/2019/204256

CN111988989

BR112020021364

US20210155949

CA3095045

IN202017049501",European Patent Office,16.04.2019,A4,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all",,
CA310737196,3095045,3095045,24.10.2019,"A01H 5/00
					






A01H 5/10
					






C07K 14/415
					






C12N 15/82
					








A01H 5/00
					






A01H 5/10
					






C07K 14/415
					






C12N 15/82
					






View less classifications","A01H 6/4684
					






C12N 15/8269
					






C12N 15/8213
					






A01H 5/10
					






Y02A 40/146
					






C12N 15/8241
					








A01H 6/4684
					






C12N 15/8269
					






C12N 15/8213
					






A01H 5/10
					






Y02A 40/146
					






C12N 15/8241
					






View less classifications","PIONEER HI-BRED INTERNATIONAL, INC.","ABBITT, SHANE E.FRANK, MARY J.LAWIT, SHAIMELO, ROSANARUPE, MARY A.SHEN, BOWU, JINGRUI",,"62/659,579 18.04.2018 US62/741,529 04.10.2018 US62/814,373 06.03.2019 US",,(EN) IMPROVING AGRONOMIC CHARACTERISTICS IN MAIZE BY MODIFICATION OF ENDOGENOUS MADS BOX TRANSCRIPTION FACTORS(FR) AMELIORATION DE CARACTERISTIQUES AGRONOMIQUES DANS LE MAIS PAR MODIFICATION DE FACTEURS DE TRANSCRIPTION DE MADS BOX ENDOGENES,"(EN) Genome edited plants, plant cells, seeds and plant parts of maize are provided where expression levels and/or activities of MADS-box transcription factors are modulated to improve one or more agronomic characteristics such as grain yield. Also provided are compositions comprising polynucleotides encoding polypeptides and guide RNAs targeted to endogenous maize MADS-box proteins including for example, targeted site-directed mutagenesis using CRISPR-associated nucleases. Additionally, various methods of employing the polynucleotides and genetic modifications in plants, such as methods for modulating expression level in a maize plant and methods for increasing yield of a maize plant are also provided herein.(FR) L'invention concerne des plantes modifiées par le génome, des cellules végétales, des graines et des parties de plantes du maïs, les niveaux d'expression et/ou les activités des facteurs de transcription de MADS box étant modulés pour améliorer une ou plusieurs caractéristiques agronomiques telles que le rendement en grains. L'invention concerne également des compositions comprenant des polynucléotides codant pour des polypeptides et des ARN guides ciblés sur des protéines de MADS box de maïs endogènes comprenant, par exemple, une mutagenèse dirigée ciblée à l'aide de nucléases associées à CRISPR. De plus, l'invention concerne également divers procédés d'utilisation des polynucléotides et des modifications génétiques dans des plantes, tels que des procédés de modulation du niveau d'expression dans une plante de maïs et des procédés pour augmenter le rendement d'une plante de maïs.","WO/2019/204256

CN111988989

BR112020021364

EP3780946

US20210155949

IN202017049501",Canada,,A1,,,,,
CN310801653,201980018394,111836825,27.10.2020,"C07K 14/415
					






C12N 15/113
					






C12N 15/82
					






A01H 6/46
					






A01H 6/02
					








C07K 14/415
					






C12N 15/113
					






C12N 15/82
					






A01H 6/46
					






A01H 6/02
					






View less classifications","C07K 14/415
					






C12N 15/8213
					






C12N 15/8216
					






C12N 15/8218
					






A01H 6/4684
					






A01H 6/024
					






View more classifications
							






C07K 14/415
					






C12N 15/8213
					






C12N 15/8216
					






C12N 15/8218
					






A01H 6/4684
					






A01H 6/024
					






C12N 2310/20
					






C12N 9/22
					






C12N 15/82
					






View less classifications",KWS SAAT SE科沃施种子欧洲股份两合公司,HUMMEL AARONA·赫梅尔VAGHCHHIPAWALA ZARIRZ·瓦格齐帕瓦拉,永新专利商标代理有限公司 72002永新专利商标代理有限公司 72002,"62/616,136 11.01.2018 US",,(EN) Optimized plant CRISPR/CPF1 systems(ZH) 优化的植物CRISPR/CPF1系统,"(EN) The present invention relates to optimized systems for the genome editing of eukaryotic cells, preferably plant cells. Also provided is a plant delivery system comprising at least one Cpf1 enzyme, ora plant optimized construct encoding the same, to be synergistically combined with a Cpf1 guide RNA system. Further provided is a Cpf1 guide RNA system being flanked by a Hammerhead ribozyme sequenceat the 5' end and by a plant-derived Hepatitis Delta Virus (HDV)-like ribozyme sequence at the 3' end, or being embedded within a coding or non-coding region, of a sequence encoding a frame sequence.Novel plant-derived HDV-like ribozyme sequences are also provided. Further provided are methods for improved genome editing, and the use of the various systems provided herein to obtain transformed plants, plant cells, tissues, organs, or a progeny thereof, or a plant material, modified in a targeted way even at difficult to access target sites.(ZH) 本发明涉及用于真核细胞，优选植物细胞基因组编辑的优化的系统。本发明还提供一种植物递送系统，其包含至少一个Cpf1酶或编码其的植物优化的构建体，以与Cpf1向导RNA系统协同组合。本发明还提供一种Cpf1向导RNA系统，其侧翼为5’端处的锤头核酶序列和3’端处的植物衍生的丁型肝炎病毒(HDV)样核酶序列，或嵌入到编码框序列(frame sequence)的序列的编码或非编码区域中。本发明还提供了新型的植物衍生的HDV样核酶序列。本发明还提供了改进的基因组编辑方法，以及本发明所提供的各种系统在获得以靶向的方式甚至在难以到达的靶位点进行修饰的转化的植物、植物细胞、组织、器官或其子代、或植物材料中的应用。","AR113728

WO/2019/138052

EP3737691

BR112020014017

US20210163968

CA3088052

US20240409949",China,11.01.2019,A,,,,,
